"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2008","774.00","700.00","836.00","663.00","","8.25%"
"11/01/2008","715.00","827.00","865.00","715.00","","-15.98%"
"10/01/2008","851.00","3,025.00","3,025.00","851.00","","-73.55%"
"09/01/2008","3,217.00","6,691.00","6,691.00","3,217.00","","-52.75%"
"08/01/2008","6,809.00","8,280.00","8,280.00","6,809.00","","-18.37%"
"07/01/2008","8,341.00","9,379.00","9,379.00","8,341.00","","-13.01%"
"06/01/2008","9,589.00","11,458.00","11,689.00","9,139.00","","-16.18%"
"05/01/2008","11,440.00","9,439.00","11,793.00","9,439.00","","22.27%"
"04/01/2008","9,356.00","7,890.00","9,356.00","7,655.00","","15.78%"
"03/01/2008","8,081.00","7,878.00","8,624.00","7,619.00","","6.15%"
"02/01/2008","7,613.00","6,134.00","7,613.00","6,002.00","","25.79%"
"01/01/2008","6,052.00","8,891.00","8,891.00","5,615.00","","-33.81%"
"12/01/2007","9,143.00","10,270.00","10,285.00","9,143.00","","-10.45%"
"11/01/2007","10,210.00","10,581.00","11,039.00","9,897.00","","-4.19%"
"10/01/2007","10,656.00","9,537.00","11,033.00","9,513.00","","12.48%"
"09/01/2007","9,474.00","7,783.00","9,474.00","7,783.00","","23.01%"
"08/01/2007","7,702.00","6,993.00","7,702.00","6,917.00","","10.55%"
"07/01/2007","6,967.00","6,304.00","6,967.00","6,201.00","","10.97%"
"06/01/2007","6,278.00","5,983.00","6,278.00","5,254.00","","5.14%"
"05/01/2007","5,971.00","6,255.00","6,688.00","5,971.00","","-4.43%"
"04/01/2007","6,248.00","5,417.00","6,248.00","5,417.00","","15.96%"
"03/01/2007","5,388.00","4,818.00","5,388.00","4,818.00","","13.07%"
"02/01/2007","4,765.00","4,219.00","4,765.00","4,219.00","","12.78%"
"01/01/2007","4,225.00","4,421.00","4,647.00","4,225.00","","-3.91%"
"12/01/2006","4,397.00","4,369.00","4,407.00","4,270.00","","1.41%"
"11/01/2006","4,336.00","4,100.00","4,336.00","4,100.00","","7.41%"
"10/01/2006","4,037.00","3,956.00","4,182.00","3,931.00","","2.36%"
"09/01/2006","3,944.00","3,875.00","4,279.00","3,875.00","","2.52%"
"08/01/2006","3,847.00","3,337.00","3,847.00","3,337.00","","17.11%"
"07/01/2006","3,285.00","2,983.00","3,285.00","2,849.00","","10.83%"
"06/01/2006","2,964.00","2,478.00","2,964.00","2,478.00","","21.67%"
"05/01/2006","2,436.00","2,364.00","2,502.00","2,364.00","","2.87%"
"04/01/2006","2,368.00","2,508.00","2,516.00","2,368.00","","-5.13%"
"03/01/2006","2,496.00","2,708.00","2,708.00","2,493.00","","-6.87%"
"02/01/2006","2,680.00","2,087.00","2,798.00","2,087.00","","28.78%"
"01/01/2006","2,081.00","2,438.00","2,497.00","2,033.00","","-13.54%"
"12/01/2005","2,407.00","2,772.00","2,772.00","2,407.00","","-13.10%"
"11/01/2005","2,770.00","3,081.00","3,081.00","2,739.00","","-11.02%"
"10/01/2005","3,113.00","2,944.00","3,370.00","2,944.00","","7.09%"
"09/01/2005","2,907.00","2,548.00","3,073.00","2,418.00","","12.15%"
"08/01/2005","2,592.00","1,769.00","2,634.00","1,747.00","","43.68%"
"07/01/2005","1,804.00","2,486.00","2,486.00","1,804.00","","-28.44%"
"06/01/2005","2,521.00","3,180.00","3,180.00","2,510.00","","-21.68%"
"05/01/2005","3,219.00","3,815.00","4,024.00","3,219.00","","-16.39%"
"04/01/2005","3,850.00","4,627.00","4,835.00","3,850.00","","-16.97%"
